Time resolution is 1 ps
 Block Memory Generator module loading initial data...
 Block Memory Generator data initialization complete.
Block Memory Generator module waveforms_tb.dut.sine_rom.inst.native_mem_module.blk_mem_gen_v8_4_12_inst is using a behavioral model for simulation which will not precisely model memory collision behavior.
=== waveforms testbench start ===
       phase |   square |      saw | triangle |     sine
--------------------------------------------------------------

-- Boundary points --
phase=0x00000000 | square=-32767 | saw=-32768 | triangle=     0 | sine=     0
phase=0x40000000 | square=-32767 | saw=-16384 | triangle= 16384 | sine=     0
phase=0x7fffffff | square=-32767 | saw=    -1 | triangle= 32767 | sine=     0
phase=0x80000000 | square= 32767 | saw=     0 | triangle= 32767 | sine=     0
phase=0xc0000000 | square= 32767 | saw= 16384 | triangle= 16383 | sine=     0
phase=0xffffffff | square= 32767 | saw= 32767 | triangle=     0 | sine=     0

-- 16-step sweep (full cycle) --
phase=0x00000000 | square=-32767 | saw=-32768 | triangle=     0 | sine=     0
phase=0x10000000 | square=-32767 | saw=-28672 | triangle=  4096 | sine=     0
phase=0x20000000 | square=-32767 | saw=-24576 | triangle=  8192 | sine=     0
phase=0x30000000 | square=-32767 | saw=-20480 | triangle= 12288 | sine=     0
phase=0x40000000 | square=-32767 | saw=-16384 | triangle= 16384 | sine=     0
phase=0x50000000 | square=-32767 | saw=-12288 | triangle= 20480 | sine=     0
phase=0x60000000 | square=-32767 | saw= -8192 | triangle= 24576 | sine=     0
phase=0x70000000 | square=-32767 | saw= -4096 | triangle= 28672 | sine=     0
phase=0x80000000 | square= 32767 | saw=     0 | triangle= 32767 | sine=     0
phase=0x90000000 | square= 32767 | saw=  4096 | triangle= 28671 | sine=     0
phase=0xa0000000 | square= 32767 | saw=  8192 | triangle= 24575 | sine=     0
phase=0xb0000000 | square= 32767 | saw= 12288 | triangle= 20479 | sine=     0
phase=0xc0000000 | square= 32767 | saw= 16384 | triangle= 16383 | sine=     0
phase=0xd0000000 | square= 32767 | saw= 20480 | triangle= 12287 | sine=     0
phase=0xe0000000 | square= 32767 | saw= 24576 | triangle=  8191 | sine=     0
phase=0xf0000000 | square= 32767 | saw= 28672 | triangle=  4095 | sine=     0

-- 256-step ROM sweep (one phase step per clock) --
phase=0x00000000 | square=-32767 | saw=-32768 | triangle=     0 | sine=     0
phase=0x01000000 | square=-32767 | saw=-32512 | triangle=   256 | sine=     0
phase=0x02000000 | square=-32767 | saw=-32256 | triangle=   512 | sine=     0
phase=0x03000000 | square=-32767 | saw=-32000 | triangle=   768 | sine=     0
phase=0x04000000 | square=-32767 | saw=-31744 | triangle=  1024 | sine=     0
phase=0x05000000 | square=-32767 | saw=-31488 | triangle=  1280 | sine=     0
phase=0x06000000 | square=-32767 | saw=-31232 | triangle=  1536 | sine=     0
phase=0x07000000 | square=-32767 | saw=-30976 | triangle=  1792 | sine=     0
phase=0x08000000 | square=-32767 | saw=-30720 | triangle=  2048 | sine=     0
phase=0x09000000 | square=-32767 | saw=-30464 | triangle=  2304 | sine=     0
phase=0x0a000000 | square=-32767 | saw=-30208 | triangle=  2560 | sine=     0
phase=0x0b000000 | square=-32767 | saw=-29952 | triangle=  2816 | sine=     0
